date,line_id,line_name,shift_id,shift_name,planned_minutes,downtime_minutes,run_time_minutes,downtime_reason_category,downtime_reason_subcategory,downtime_cost_usd,ideal_cycle_time_sec,units_planned,units_produced,units_good,units_defective
2025-01-02,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,40.1,439.9,Changeover,Product Setup / Changeover,320.8,20,1440,1211,1200,11
2025-01-03,L1,Line 1 - CNC Machining,S1,Morning,480,23.8,456.2,Changeover,Product Setup / Changeover,337.17,45,640,532,525,7
2025-01-03,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,545,537,8
2025-01-03,L1,Line 1 - CNC Machining,S3,Night,480,14.7,465.3,Changeover,Product Setup / Changeover,208.25,45,640,557,553,4
2025-01-03,L2,Line 2 - Precision Assembly,S1,Morning,480,67.6,412.4,Equipment Failure,Electrical Fault,698.53,30,960,720,714,6
2025-01-03,L2,Line 2 - Precision Assembly,S2,Afternoon,480,75.1,404.9,Unplanned Maintenance,Unscheduled Repair,776.03,30,960,700,693,7
2025-01-03,L2,Line 2 - Precision Assembly,S3,Night,480,32.7,447.3,Operator,Operator Availability / Training,337.9,30,960,743,737,6
2025-01-03,L3,Line 3 - Surface Treatment,S1,Morning,480,56.6,423.4,Changeover,Product Setup / Changeover,669.77,60,480,416,402,14
2025-01-03,L3,Line 3 - Surface Treatment,S2,Afternoon,480,67.7,412.3,Equipment Failure,Mechanical Breakdown,801.12,60,480,393,379,14
2025-01-03,L3,Line 3 - Surface Treatment,S3,Night,480,58.1,421.9,Changeover,Product Setup / Changeover,687.52,60,480,396,390,6
2025-01-03,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,36.2,443.8,Material Issue,Material Quality Reject,289.6,20,1440,1185,1176,9
2025-01-03,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,48.4,431.6,Unplanned Maintenance,Unscheduled Repair,387.2,20,1440,1137,1126,11
2025-01-03,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,117.3,362.7,Planned Maintenance,Scheduled Preventive Maintenance,938.4,20,1440,1088,1079,9
2025-01-04,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,568,559,9
2025-01-04,L1,Line 1 - CNC Machining,S2,Afternoon,480,56.7,423.3,Changeover,Product Setup / Changeover,803.25,45,640,525,516,9
2025-01-04,L1,Line 1 - CNC Machining,S3,Night,480,76.4,403.6,Planned Maintenance,Scheduled Preventive Maintenance,1082.33,45,640,491,482,9
2025-01-04,L2,Line 2 - Precision Assembly,S1,Morning,480,60.0,420.0,Equipment Failure,Mechanical Breakdown,620.0,30,960,840,830,10
2025-01-04,L2,Line 2 - Precision Assembly,S2,Afternoon,480,40.6,439.4,Equipment Failure,Electrical Fault,419.53,30,960,832,820,12
2025-01-04,L2,Line 2 - Precision Assembly,S3,Night,480,50.4,429.6,Unplanned Maintenance,Unscheduled Repair,520.8,30,960,815,801,14
2025-01-04,L3,Line 3 - Surface Treatment,S1,Morning,480,31.7,448.3,Changeover,Product Setup / Changeover,375.12,60,480,381,373,8
2025-01-04,L3,Line 3 - Surface Treatment,S2,Afternoon,480,61.8,418.2,Material Issue,Material Shortage,731.3,60,480,376,363,13
2025-01-04,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,54.4,425.6,Changeover,Product Setup / Changeover,435.2,20,1440,1083,1077,6
2025-01-04,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1337,1327,10
2025-01-05,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,604,598,6
2025-01-05,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,517,512,5
2025-01-05,L1,Line 1 - CNC Machining,S3,Night,480,59.6,420.4,Unplanned Maintenance,Unscheduled Repair,844.33,45,640,525,512,13
2025-01-05,L2,Line 2 - Precision Assembly,S1,Morning,480,76.1,403.9,Material Issue,Material Shortage,786.37,30,960,729,719,10
2025-01-05,L2,Line 2 - Precision Assembly,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,925,920,5
2025-01-05,L2,Line 2 - Precision Assembly,S3,Night,480,71.2,408.8,Planned Maintenance,Scheduled Preventive Maintenance,735.73,30,960,761,743,18
2025-01-05,L3,Line 3 - Surface Treatment,S1,Morning,480,74.1,405.9,Material Issue,Material Shortage,876.85,60,480,381,373,8
2025-01-05,L3,Line 3 - Surface Treatment,S2,Afternoon,480,111.6,368.4,Equipment Failure,Mechanical Breakdown,1320.6,60,480,320,312,8
2025-01-05,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,68.7,411.3,Material Issue,Material Shortage,549.6,20,1440,991,984,7
2025-01-05,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,76.8,403.2,Material Issue,Material Shortage,614.4,20,1440,1036,1025,11
2025-01-06,L1,Line 1 - CNC Machining,S1,Morning,480,86.6,393.4,Equipment Failure,Mechanical Breakdown,1226.83,45,640,451,438,13
2025-01-06,L1,Line 1 - CNC Machining,S2,Afternoon,480,31.3,448.7,Operator,Operator Availability / Training,443.42,45,640,465,458,7
2025-01-06,L1,Line 1 - CNC Machining,S3,Night,480,45.2,434.8,Equipment Failure,Electrical Fault,640.33,45,640,517,508,9
2025-01-06,L2,Line 2 - Precision Assembly,S1,Morning,480,115.3,364.7,Equipment Failure,Mechanical Breakdown,1191.43,30,960,635,629,6
2025-01-06,L2,Line 2 - Precision Assembly,S2,Afternoon,480,17.4,462.6,Material Issue,Material Quality Reject,179.8,30,960,883,869,14
2025-01-06,L2,Line 2 - Precision Assembly,S3,Night,480,90.8,389.2,Equipment Failure,Electrical Fault,938.27,30,960,759,752,7
2025-01-06,L3,Line 3 - Surface Treatment,S1,Morning,480,100.5,379.5,Equipment Failure,Mechanical Breakdown,1189.25,60,480,359,353,6
2025-01-06,L3,Line 3 - Surface Treatment,S2,Afternoon,480,44.1,435.9,Changeover,Product Setup / Changeover,521.85,60,480,385,380,5
2025-01-06,L3,Line 3 - Surface Treatment,S3,Night,480,46.2,433.8,Material Issue,Material Shortage,546.7,60,480,393,380,13
2025-01-06,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,31.9,448.1,Unplanned Maintenance,Unscheduled Repair,255.2,20,1440,1130,1120,10
2025-01-06,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,56.4,423.6,Material Issue,Material Shortage,451.2,20,1440,1114,1104,10
2025-01-06,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,68.2,411.8,Material Issue,Material Shortage,545.6,20,1440,1235,1231,4
2025-01-07,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,592,584,8
2025-01-07,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,586,579,7
2025-01-07,L1,Line 1 - CNC Machining,S3,Night,480,50.3,429.7,Equipment Failure,Electrical Fault,712.58,45,640,544,535,9
2025-01-07,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,824,815,9
2025-01-07,L2,Line 2 - Precision Assembly,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,897,891,6
2025-01-07,L2,Line 2 - Precision Assembly,S3,Night,480,78.8,401.2,Planned Maintenance,Scheduled Preventive Maintenance,814.27,30,960,721,713,8
2025-01-07,L3,Line 3 - Surface Treatment,S1,Morning,480,100.9,379.1,Planned Maintenance,Scheduled Preventive Maintenance,1193.98,60,480,336,328,8
2025-01-07,L3,Line 3 - Surface Treatment,S2,Afternoon,480,112.0,368.0,Planned Maintenance,Scheduled Preventive Maintenance,1325.33,60,480,360,351,9
2025-01-07,L3,Line 3 - Surface Treatment,S3,Night,480,84.7,395.3,Unplanned Maintenance,Unscheduled Repair,1002.28,60,480,352,343,9
2025-01-07,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,53.9,426.1,Changeover,Product Setup / Changeover,431.2,20,1440,1073,1067,6
2025-01-07,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,102.5,377.5,Planned Maintenance,Scheduled Preventive Maintenance,820.0,20,1440,1061,1051,10
2025-01-07,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,37.1,442.9,Material Issue,Material Shortage,296.8,20,1440,1273,1263,10
2025-01-08,L1,Line 1 - CNC Machining,S1,Morning,480,99.5,380.5,Equipment Failure,Mechanical Breakdown,1409.58,45,640,439,434,5
2025-01-08,L1,Line 1 - CNC Machining,S2,Afternoon,480,32.4,447.6,Material Issue,Material Quality Reject,459.0,45,640,520,512,8
2025-01-08,L1,Line 1 - CNC Machining,S3,Night,480,10.5,469.5,Operator,Operator Availability / Training,148.75,45,640,510,504,6
2025-01-08,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,851,848,3
2025-01-08,L2,Line 2 - Precision Assembly,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,954,945,9
2025-01-08,L2,Line 2 - Precision Assembly,S3,Night,480,30.0,450.0,Changeover,Product Setup / Changeover,310.0,30,960,827,821,6
2025-01-08,L3,Line 3 - Surface Treatment,S1,Morning,480,52.8,427.2,Material Issue,Material Shortage,624.8,60,480,394,383,11
2025-01-08,L3,Line 3 - Surface Treatment,S2,Afternoon,480,21.0,459.0,Operator,Operator Availability / Training,248.5,60,480,419,410,9
2025-01-08,L3,Line 3 - Surface Treatment,S3,Night,480,55.5,424.5,Material Issue,Material Shortage,656.75,60,480,394,381,13
2025-01-08,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,74.2,405.8,Material Issue,Material Shortage,593.6,20,1440,1159,1148,11
2025-01-08,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,119.7,360.3,Equipment Failure,Electrical Fault,957.6,20,1440,920,914,6
2025-01-08,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,36.0,444.0,Changeover,Product Setup / Changeover,288.0,20,1440,1138,1128,10
2025-01-09,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,502,494,8
2025-01-09,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,541,532,9
2025-01-09,L1,Line 1 - CNC Machining,S3,Night,480,63.6,416.4,Planned Maintenance,Scheduled Preventive Maintenance,901.0,45,640,555,543,12
2025-01-09,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,836,827,9
2025-01-09,L2,Line 2 - Precision Assembly,S2,Afternoon,480,14.0,466.0,Operator,Operator Availability / Training,144.67,30,960,854,845,9
2025-01-09,L2,Line 2 - Precision Assembly,S3,Night,480,43.4,436.6,Changeover,Product Setup / Changeover,448.47,30,960,782,773,9
2025-01-09,L3,Line 3 - Surface Treatment,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,60,480,440,431,9
2025-01-09,L3,Line 3 - Surface Treatment,S2,Afternoon,480,25.5,454.5,Operator,Operator Availability / Training,301.75,60,480,396,386,10
2025-01-09,L3,Line 3 - Surface Treatment,S3,Night,480,89.2,390.8,Equipment Failure,Mechanical Breakdown,1055.53,60,480,363,352,11
2025-01-09,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,28.1,451.9,Changeover,Product Setup / Changeover,224.8,20,1440,1247,1239,8
2025-01-09,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,113.6,366.4,Planned Maintenance,Scheduled Preventive Maintenance,908.8,20,1440,993,978,15
2025-01-09,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,71.3,408.7,Changeover,Product Setup / Changeover,570.4,20,1440,1150,1136,14
2025-01-10,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,559,552,7
2025-01-10,L1,Line 1 - CNC Machining,S2,Afternoon,480,19.0,461.0,Changeover,Product Setup / Changeover,269.17,45,640,606,595,11
2025-01-10,L1,Line 1 - CNC Machining,S3,Night,480,42.9,437.1,Changeover,Product Setup / Changeover,607.75,45,640,507,496,11
2025-01-10,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,765,758,7
2025-01-10,L2,Line 2 - Precision Assembly,S2,Afternoon,480,5.0,475.0,Operator,Operator Availability / Training,51.67,30,960,849,844,5
2025-01-10,L2,Line 2 - Precision Assembly,S3,Night,480,108.4,371.6,Equipment Failure,Mechanical Breakdown,1120.13,30,960,685,679,6
2025-01-10,L3,Line 3 - Surface Treatment,S1,Morning,480,44.1,435.9,Changeover,Product Setup / Changeover,521.85,60,480,417,410,7
2025-01-10,L3,Line 3 - Surface Treatment,S2,Afternoon,480,102.6,377.4,Equipment Failure,Mechanical Breakdown,1214.1,60,480,327,321,6
2025-01-10,L3,Line 3 - Surface Treatment,S3,Night,480,81.3,398.7,Equipment Failure,Mechanical Breakdown,962.05,60,480,334,327,7
2025-01-10,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,18.0,462.0,Material Issue,Material Quality Reject,144.0,20,1440,1189,1179,10
2025-01-10,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1369,1361,8
2025-01-10,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,65.8,414.2,Equipment Failure,Mechanical Breakdown,526.4,20,1440,1026,1011,15
2025-01-11,L1,Line 1 - CNC Machining,S1,Morning,480,40.3,439.7,Changeover,Product Setup / Changeover,570.92,45,640,557,551,6
2025-01-11,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,640,628,12
2025-01-11,L1,Line 1 - CNC Machining,S3,Night,480,20.9,459.1,Changeover,Product Setup / Changeover,296.08,45,640,558,552,6
2025-01-11,L2,Line 2 - Precision Assembly,S1,Morning,480,23.7,456.3,Changeover,Product Setup / Changeover,244.9,30,960,785,780,5
2025-01-11,L2,Line 2 - Precision Assembly,S2,Afternoon,480,125.6,354.4,Unplanned Maintenance,Unscheduled Repair,1297.87,30,960,675,667,8
2025-01-11,L2,Line 2 - Precision Assembly,S3,Night,480,84.6,395.4,Material Issue,Material Shortage,874.2,30,960,783,773,10
2025-01-11,L3,Line 3 - Surface Treatment,S1,Morning,480,54.4,425.6,Equipment Failure,Mechanical Breakdown,643.73,60,480,347,337,10
2025-01-11,L3,Line 3 - Surface Treatment,S2,Afternoon,480,44.1,435.9,Operator,Operator Availability / Training,521.85,60,480,355,346,9
2025-01-11,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,62.2,417.8,Equipment Failure,Mechanical Breakdown,497.6,20,1440,1091,1083,8
2025-01-11,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,49.1,430.9,Unplanned Maintenance,Unscheduled Repair,392.8,20,1440,1167,1160,7
2025-01-12,L1,Line 1 - CNC Machining,S1,Morning,480,22.6,457.4,Operator,Operator Availability / Training,320.17,45,640,515,509,6
2025-01-12,L1,Line 1 - CNC Machining,S2,Afternoon,480,37.6,442.4,Material Issue,Material Quality Reject,532.67,45,640,534,524,10
2025-01-12,L1,Line 1 - CNC Machining,S3,Night,480,48.4,431.6,Equipment Failure,Electrical Fault,685.67,45,640,537,531,6
2025-01-12,L2,Line 2 - Precision Assembly,S1,Morning,480,19.9,460.1,Equipment Failure,Electrical Fault,205.63,30,960,842,836,6
2025-01-12,L2,Line 2 - Precision Assembly,S2,Afternoon,480,53.7,426.3,Material Issue,Material Shortage,554.9,30,960,705,699,6
2025-01-12,L2,Line 2 - Precision Assembly,S3,Night,480,86.7,393.3,Equipment Failure,Mechanical Breakdown,895.9,30,960,755,748,7
2025-01-12,L3,Line 3 - Surface Treatment,S1,Morning,480,35.3,444.7,Material Issue,Material Quality Reject,417.72,60,480,438,436,2
2025-01-12,L3,Line 3 - Surface Treatment,S2,Afternoon,480,51.1,428.9,Unplanned Maintenance,Unscheduled Repair,604.68,60,480,395,388,7
2025-01-12,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1338,1323,15
2025-01-12,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1325,1316,9
2025-01-13,L1,Line 1 - CNC Machining,S1,Morning,480,98.8,381.2,Equipment Failure,Mechanical Breakdown,1399.67,45,640,444,436,8
2025-01-13,L1,Line 1 - CNC Machining,S2,Afternoon,480,137.3,342.7,Unplanned Maintenance,Unscheduled Repair,1945.08,45,640,444,437,7
2025-01-13,L1,Line 1 - CNC Machining,S3,Night,480,16.9,463.1,Changeover,Product Setup / Changeover,239.42,45,640,542,534,8
2025-01-13,L2,Line 2 - Precision Assembly,S1,Morning,480,125.3,354.7,Unplanned Maintenance,Unscheduled Repair,1294.77,30,960,673,671,2
2025-01-13,L2,Line 2 - Precision Assembly,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,813,805,8
2025-01-13,L2,Line 2 - Precision Assembly,S3,Night,480,37.5,442.5,Material Issue,Material Shortage,387.5,30,960,775,766,9
2025-01-13,L3,Line 3 - Surface Treatment,S1,Morning,480,112.4,367.6,Unplanned Maintenance,Unscheduled Repair,1330.07,60,480,320,311,9
2025-01-13,L3,Line 3 - Surface Treatment,S2,Afternoon,480,102.7,377.3,Equipment Failure,Electrical Fault,1215.28,60,480,348,340,8
2025-01-13,L3,Line 3 - Surface Treatment,S3,Night,480,114.0,366.0,Equipment Failure,Mechanical Breakdown,1349.0,60,480,357,349,8
2025-01-13,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,89.1,390.9,Equipment Failure,Electrical Fault,712.8,20,1440,1123,1108,15
2025-01-13,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,90.2,389.8,Equipment Failure,Electrical Fault,721.6,20,1440,978,971,7
2025-01-13,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,37.2,442.8,Material Issue,Material Shortage,297.6,20,1440,1010,1001,9
2025-01-14,L1,Line 1 - CNC Machining,S1,Morning,480,177.5,302.5,Equipment Failure,Mechanical Breakdown,2514.58,45,640,403,394,9
2025-01-14,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,545,536,9
2025-01-14,L1,Line 1 - CNC Machining,S3,Night,480,86.9,393.1,Material Issue,Material Shortage,1231.08,45,640,455,450,5
2025-01-14,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,856,841,15
2025-01-14,L2,Line 2 - Precision Assembly,S2,Afternoon,480,103.3,376.7,Equipment Failure,Mechanical Breakdown,1067.43,30,960,726,719,7
2025-01-14,L2,Line 2 - Precision Assembly,S3,Night,480,57.8,422.2,Changeover,Product Setup / Changeover,597.27,30,960,642,636,6
2025-01-14,L3,Line 3 - Surface Treatment,S1,Morning,480,36.3,443.7,Material Issue,Material Quality Reject,429.55,60,480,359,352,7
2025-01-14,L3,Line 3 - Surface Treatment,S2,Afternoon,480,84.8,395.2,Equipment Failure,Mechanical Breakdown,1003.47,60,480,324,314,10
2025-01-14,L3,Line 3 - Surface Treatment,S3,Night,480,51.9,428.1,Material Issue,Material Shortage,614.15,60,480,359,349,10
2025-01-14,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1272,1266,6
2025-01-14,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,50.7,429.3,Operator,Operator Availability / Training,405.6,20,1440,1163,1153,10
2025-01-14,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,74.3,405.7,Unplanned Maintenance,Unscheduled Repair,594.4,20,1440,1053,1045,8
2025-01-15,L1,Line 1 - CNC Machining,S1,Morning,480,34.3,445.7,Changeover,Product Setup / Changeover,485.92,45,640,538,531,7
2025-01-15,L1,Line 1 - CNC Machining,S2,Afternoon,480,67.6,412.4,Changeover,Product Setup / Changeover,957.67,45,640,535,532,3
2025-01-15,L1,Line 1 - CNC Machining,S3,Night,480,35.7,444.3,Equipment Failure,Mechanical Breakdown,505.75,45,640,505,500,5
2025-01-15,L2,Line 2 - Precision Assembly,S1,Morning,480,146.3,333.7,Equipment Failure,Mechanical Breakdown,1511.77,30,960,638,627,11
2025-01-15,L2,Line 2 - Precision Assembly,S2,Afternoon,480,83.0,397.0,Equipment Failure,Electrical Fault,857.67,30,960,660,654,6
2025-01-15,L2,Line 2 - Precision Assembly,S3,Night,480,77.2,402.8,Equipment Failure,Electrical Fault,797.73,30,960,713,706,7
2025-01-15,L3,Line 3 - Surface Treatment,S1,Morning,480,64.2,415.8,Unplanned Maintenance,Unscheduled Repair,759.7,60,480,403,397,6
2025-01-15,L3,Line 3 - Surface Treatment,S2,Afternoon,480,93.5,386.5,Unplanned Maintenance,Unscheduled Repair,1106.42,60,480,355,350,5
2025-01-15,L3,Line 3 - Surface Treatment,S3,Night,480,59.3,420.7,Unplanned Maintenance,Unscheduled Repair,701.72,60,480,405,398,7
2025-01-15,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,29.8,450.2,Equipment Failure,Electrical Fault,238.4,20,1440,1111,1097,14
2025-01-15,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,48.2,431.8,Changeover,Product Setup / Changeover,385.6,20,1440,1158,1150,8
2025-01-15,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,51.0,429.0,Changeover,Product Setup / Changeover,408.0,20,1440,1167,1157,10
2025-01-16,L1,Line 1 - CNC Machining,S1,Morning,480,95.8,384.2,Equipment Failure,Mechanical Breakdown,1357.17,45,640,408,404,4
2025-01-16,L1,Line 1 - CNC Machining,S2,Afternoon,480,104.9,375.1,Planned Maintenance,Scheduled Preventive Maintenance,1486.08,45,640,450,441,9
2025-01-16,L1,Line 1 - CNC Machining,S3,Night,480,69.9,410.1,Equipment Failure,Electrical Fault,990.25,45,640,460,452,8
2025-01-16,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,765,759,6
2025-01-16,L2,Line 2 - Precision Assembly,S2,Afternoon,480,103.4,376.6,Equipment Failure,Mechanical Breakdown,1068.47,30,960,751,738,13
2025-01-16,L2,Line 2 - Precision Assembly,S3,Night,480,79.5,400.5,Equipment Failure,Mechanical Breakdown,821.5,30,960,759,750,9
2025-01-16,L3,Line 3 - Surface Treatment,S1,Morning,480,5.0,475.0,Equipment Failure,Mechanical Breakdown,59.17,60,480,417,408,9
2025-01-16,L3,Line 3 - Surface Treatment,S2,Afternoon,480,26.9,453.1,Equipment Failure,Electrical Fault,318.32,60,480,386,374,12
2025-01-16,L3,Line 3 - Surface Treatment,S3,Night,480,37.3,442.7,Material Issue,Material Shortage,441.38,60,480,442,433,9
2025-01-16,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1221,1210,11
2025-01-16,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,50.6,429.4,Equipment Failure,Electrical Fault,404.8,20,1440,1168,1150,18
2025-01-16,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,88.1,391.9,Planned Maintenance,Scheduled Preventive Maintenance,704.8,20,1440,1055,1040,15
2025-01-17,L1,Line 1 - CNC Machining,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,516,510,6
2025-01-17,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,600,589,11
2025-01-17,L1,Line 1 - CNC Machining,S3,Night,480,40.5,439.5,Material Issue,Material Shortage,573.75,45,640,518,510,8
2025-01-17,L2,Line 2 - Precision Assembly,S1,Morning,480,67.4,412.6,Material Issue,Material Shortage,696.47,30,960,761,751,10
